job_link,platform,job_title,location,job_employment_type,job_maturity,job_min_salary,job_max_salary,job_salary_period,job_description,employer_name,employer_rating
https://www.linkedin.com/jobs/view/4422353970,LinkedIn,Freelance Data Science Engineer (Python & SQL),"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Mindrift,
https://www.linkedin.com/jobs/view/4422353634,LinkedIn,Data Scientist (Python & SQL) - Freelance AI Trainer,"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Mindrift,
https://www.linkedin.com/jobs/view/4422190905,LinkedIn,Data Modeller / Analytics Engineer,"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,RES,
https://www.linkedin.com/jobs/view/4419236871,LinkedIn,BI Data Modeller,"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Eden Scott,
https://www.linkedin.com/jobs/view/4413427193,LinkedIn,Staff Software Engineer - Reference Data - AI/ML (UK),"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Addepar,
https://www.linkedin.com/jobs/view/4419262428,LinkedIn,Data Analyst,"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Storm ID,
https://www.linkedin.com/jobs/view/4419291360,LinkedIn,Senior Data Engineer,"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Sword Group,
https://www.linkedin.com/jobs/view/4422346735,LinkedIn,Data Analyst,"East Kilbride, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,AlbaCo Ltd,
https://www.linkedin.com/jobs/view/4419216096,LinkedIn,Senior  Data Platform Developer,"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Barclays,
https://www.linkedin.com/jobs/view/4419688490,LinkedIn,Senior Data Engineer,"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Barclays,
https://www.linkedin.com/jobs/view/4424217433,LinkedIn,CRM & Data Analyst,"Riccarton, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Heriot-Watt University,
https://www.linkedin.com/jobs/view/4422669069,LinkedIn,Data Scientist (Masters),"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Alignerr,
https://www.linkedin.com/jobs/view/4422660167,LinkedIn,Data Scientist (Masters),"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Alignerr,
https://www.linkedin.com/jobs/view/4422944337,LinkedIn,Data Scientist (Product Analytics),"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Wordsmith AI,
https://www.linkedin.com/jobs/view/4422488578,LinkedIn,Data Architect,Edinburgh,None,Recent,,,,Open target link to view core requirements.,Harvey Nash,
https://www.linkedin.com/jobs/view/4422329580,LinkedIn,Senior Data Modeller - Technical Data Analyst,"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Royal London,
https://www.linkedin.com/jobs/view/4423925377,LinkedIn,Senior Software Engineer,"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Gecko | AI-Powered Student Engagement Platform,
https://www.linkedin.com/jobs/view/4422191254,LinkedIn,Machine Learning Engineer,"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Alignerr,
https://www.linkedin.com/jobs/view/4423941887,LinkedIn,Software Development Engineer (Frontend),"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Adobe,
https://www.linkedin.com/jobs/view/4419698173,LinkedIn,Business Intelligence Developer,"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Eden Scott,
https://www.linkedin.com/jobs/view/4420105531,LinkedIn,L3 Database Administration,"Scotland, United Kingdom",None,Recent,,,,Open target link to view core requirements.,Gazelle Global,
https://www.linkedin.com/jobs/view/4419694573,LinkedIn,L3 Database Administrator,Edinburgh,None,Recent,,,,Open target link to view core requirements.,Queen Square Recruitment,
https://www.linkedin.com/jobs/view/4422938193,LinkedIn,Software Engineer (Python) - Beacon Core Engineer,"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Clearwater Analytics,
https://www.linkedin.com/jobs/view/4422464239,LinkedIn,Lead Data Analyst,"Perth, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,SSE plc,
https://www.linkedin.com/jobs/view/4422472173,LinkedIn,Lead Data Analyst,"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,SSE plc,
https://www.linkedin.com/jobs/view/4422336760,LinkedIn,Solution Analyst II,"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,JPMorganChase,
https://www.linkedin.com/jobs/view/4423986610,LinkedIn,Assistant Vice President Chief Data Analytics Office - Business Analyst,"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,hackajob,
https://www.linkedin.com/jobs/view/4401387820,LinkedIn,Business Analyst- BI,"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Aggreko,
https://www.linkedin.com/jobs/view/4422647009,LinkedIn,Business Systems Analyst,"Renfrew, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Terumo Aortic,
https://www.linkedin.com/jobs/view/4422199126,LinkedIn,Data Science Expert - AI Content Specialist,"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Alignerr,
https://www.linkedin.com/jobs/view/4422465228,LinkedIn,Lead BI Developer,"Perth, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,SSE plc,
https://www.linkedin.com/jobs/view/4422465231,LinkedIn,Lead BI Developer,"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,SSE plc,
https://www.linkedin.com/jobs/view/4419215098,LinkedIn,Machine Learning Engineer,"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Barclays,
https://www.linkedin.com/jobs/view/4420154147,LinkedIn,Production Engineer,"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Barclays,
https://www.linkedin.com/jobs/view/4419693750,LinkedIn,Transformation Data & AI Architect,"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,The Weir Group PLC,
https://www.linkedin.com/jobs/view/4420106412,LinkedIn,AI/ML Engineer,"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Infinity Quest,
